"ASDR per 100 000 - Total deaths, ICD chapter 4 (Endocrine, nutritional and metabolic diseases), both sexes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Countries,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979
El Salvador,,,37.5,40.1,37.2,33.7,35,33.7,32.1,34.3,34.9,33.3,29.9,27,28.2,30.2,30,29.4,31.2,28.7,,,,,,,,,,,,,,,,,, 
Estonia,,5.6,6.5,6.5,6.6,7.4,7.3,9.5,10.7,11.7,10.9,11,13.6,8.3,7.3,8.4,7.2,7.4,7.1,7.2,,,,,,,,,,,,,,,,,, 
Falkland Islands (Malvinas),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Fiji,,,,,245.5,258.2,,200.5,239.2,232.3,174.1,245.7,235.6,240,198.3,49.3,,,,,,,,,,,,,,,,,,,,,, 
Finland,,5.6,6.3,5.9,6.4,5.7,6.1,5.8,6.7,6.5,6.5,7,6.9,6.9,7.1,7,7.8,7.3,7.5,8,8.4,,,,,,,,,,,,,,,,, 
France,,,10.8,11.4,11.8,11.6,12.2,12.6,13,13,13.4,14.3,14.5,17.2,15.4,15.3,15.1,,,,,,,,,,,,,,,,,,,,, 
French Guiana,,,18.7,25.2,23.8,29.4,12.3,29.1,24.1,27.4,38.7,18.9,39.2,34.9,28.2,35.5,,,,,,,,,,,,,,,,,,,,,, 
Georgia,,17.2,18.6,15.4,17.2,13.7,6.8,8.3,,7.5,6.9,7.8,13.5,,,10.7,13.6,12.1,10.7,,,,,,,,,,,,,,,,,,, 
Germany,,13.9,13,14.2,13.7,13.8,13.8,13.6,13.5,13.4,13.9,15.1,14.9,15.1,14.7,13.8,13.8,14,14.1,,,,,,,,,,,,,,,,,,, 
Greece,,8,7.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Grenada,111.6,113.4,108.5,94.7,102.5,110.5,114.2,106.3,81,91.2,73.9,80.7,96,113.2,96.2,82.5,,,,,,,,,,,,,,,,,,,,,, 
Guadeloupe,,,27.4,18.7,18.3,20.4,23.3,25.1,23.4,22.7,29,29.2,27.9,28.8,25.4,27.5,30.5,,,,,,,,,,,,,,,,,,,,, 
Guatemala,,79.6,82.5,79,79.3,79.1,84.7,84.2,82.5,81,81.7,83.1,,,,,,,,,,,,,,,,,,,,,,,,,, 
Guyana,,,,107.8,119.3,119.7,119.5,94.3,121.4,113,123.3,120.2,116.6,108.6,118.8,113.2,,,,,,,,,,,,,,,,,,,,,, 
Haiti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Honduras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Hong Kong SAR,,4.1,3.4,3.3,3.6,4.3,5.1,4.8,5.7,5.4,5.5,6.7,7.8,9.2,7.2,8.8,,,,,,,,,,,,,,,,,,,,,, 
Hungary,15.1,15.3,14.2,14.5,15.8,15.9,15.3,16,17.5,18.7,18.8,21.8,14,15.4,14.5,11.4,15.2,15.7,14.1,13.2,12.5,,,,,,,,,,,,,,,,, 
Iceland,8.2,5.9,5.3,7.9,6.7,5.1,4.7,7.7,7,6.7,6.6,6.6,7.3,6.4,5.2,8.3,4.6,9,8,6.4,8.2,,,,,,,,,,,,,,,,, 
Iran (Islamic Rep of),,34.6,21.5,20.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Iraq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Ireland,,,9,10.1,9.9,9.2,9.9,10,10.2,11.8,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
