"ASDR per 100 000 - Total deaths, ICD chapter 13 (Diseases of the musculoskeletal system), both sexes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Countries,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979
Costa Rica,,,3.7,3.7,3.6,4.2,3.6,3.8,3.7,3,3.5,2.5,2,2.2,2.7,2.8,3,3.2,2.4,2.9,2.5,1.9,2.6,2.6,2.9,2.8,2.2,2.8,3.2,3.1,3.9,3.2,3.2,3.2,3,3.4,1.9, 
Croatia,1.4,1.4,1.7,1.2,1.3,1.5,1.4,1,0.9,1.1,1.2,1.1,0.9,0.8,0.7,0.7,1,0.8,0.7,0.8,0.9,1,0.9,0.9,0.7,0.6,0.8,0.7,0.9,0.8,0.9,0.1,,,,,, 
Cuba,,3.6,3.2,3.2,3.2,3.1,3.4,3.6,3.6,3.2,2.9,3.9,3.2,2.7,2.3,2.6,2.4,2.5,2.7,2.5,2.7,2.5,2.6,3,2.9,2.7,2.6,2.3,2.9,2.2,2.2,2.2,1.8,1.8,1.8,1.9,1.4,1.5 
Cyprus,1.6,1.7,2.5,1.8,2.3,1.8,1.8,1.5,2.3,3.3,2.2,2,2.1,,,,0.1,0,,,,,,,,,,,,,,,,,,,, 
Czech Republic,0.9,1.2,1,0.9,1.1,0.8,0.3,0.4,0.5,0.4,0.3,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.2,0.3,0.2,0.4,0.5,0.4,0.5,0.4,0.6,0.8,0.8,0.5,0.7,,,,,,, 
Denmark,,2.6,2.7,2.7,3,2.5,2.9,2.7,3.2,2.8,3.4,3.2,3.2,3.4,3.5,3.4,3,3.9,3.7,3.2,2.2,2.4,2,,,,,,,,,,,,,,, 
Dominica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Dominican Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Ecuador,,2.7,2.6,2.4,1.7,1.9,2.1,2.1,1.6,1.7,1.6,1.7,1.5,1.2,1.1,1.4,1.3,1.1,1.3,1.3,3.3,3,3,3.1,4,3.7,3.3,3,4.6,4.6,5.3,5.8,6,3.6,3.9,2.8,5.3,7.4 
Egypt,,0.4,0.6,0.5,0.4,0.4,0.2,0.2,0.4,0.5,0.5,0.6,0.6,0.4,0.5,0.4,0.4,,,,,,,,0.3,0.4,,,,0.3,,,,,,,0.8, 
El Salvador,,,1.6,1.8,1.8,2,2.9,2.2,2.3,2,2.3,2.5,2.7,3,3,3,3.3,3.8,3.4,4.7,4.7,6,,7.3,8.2,7.7,8.3,,,,,,10.7,10.8,10.1,7.3,, 
Estonia,,1.7,1.5,1.5,1.5,1.5,1.8,1.5,2.7,2.3,1.7,2.7,2.5,2.3,3.4,2.7,2,2.2,2.8,2.4,2.5,2.7,2.9,1.7,2.9,2.2,2.9,2.8,2.5,2.1,2,2.5,,,2.9,1.8,, 
Falkland Islands (Malvinas),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Fiji,,,,,11.4,7.1,,3.4,3.9,4.1,2.1,0.7,0.6,1.2,1.2,3,,,,,,,,,,,,,,,,,,,,,, 
Finland,,1.5,1.5,1.5,2,1.8,1.9,1.9,2.3,2.1,2.6,2.8,2.2,2.7,3,2.9,3.1,3.3,3.4,3.2,3.2,3.1,3.5,4.2,3.8,3.2,3.6,3.7,3.7,3.5,,,,,,,, 
France,,,2.1,2.3,2.2,2.1,2.2,2.3,2.3,2.2,2.4,2.5,2.5,2.8,2.9,2.9,2.9,2.3,2.3,2,2,2.1,2.1,2.2,2.1,2.3,2.3,2.3,2.4,2.6,2.7,2.7,2.8,2.8,2.5,2.5,2.2,2 
French Guiana,,,2.5,3.8,3,2.9,2.4,2,2.7,0.9,3.1,3.3,0.5,4.9,2.9,2.7,,,,,,,,,,,,,,,,,,,,,,0 
Georgia,,0.9,1.1,0.8,0.8,0.4,0.2,0.2,,0,0,0.1,0.4,,,0.1,0.2,0.2,0.3,0,0.1,0,0.1,,0,0,0,0.2,0.1,0.1,0.2,0.1,,,0.4,0.1,, 
Germany,,1.6,1.5,1.6,1.5,1.5,1.4,1.3,1.2,1.2,1.2,1.1,1.1,1.2,1.1,1.1,1.1,1.1,1.2,1.3,1.3,1.4,1.5,1.7,1.8,1.9,2.1,,,,,,,,,,, 
Greece,,0.9,1,1.2,1.6,2.1,2,1.6,1.4,1.7,1.7,1.5,1.7,1.9,1.7,1.8,1.4,1.5,1.1,0.7,0.7,0.5,0.6,0.4,0.3,0.2,0.2,0.2,0.2,0.4,0.4,1.2,1.1,1.1,1.1,1.1,1.1,1 
Grenada,3.8,5.2,2.2,5.4,1.8,2.2,1.7,6.1,2,5.3,6,5.1,10.4,3.9,2.7,1.1,,,,,8.4,6.2,10.2,8.4,8.7,2.2,7.8,0,2.9,,,4.4,,,,,, 
Guadeloupe,,,2.5,2.1,1.4,1.4,3,2,1.4,2.9,1,2,2.3,2.2,1.2,1.5,2.1,,,,,,,,,,,,,,,,,,,2.3,, 
Guatemala,,3.4,2.6,2.3,2.5,2.4,2.8,2.8,2.1,2.7,2.7,3,2.7,2.9,3,2.5,3,2.7,2.9,3,3.1,4.3,5.3,5.3,5.7,6.1,5.4,4.2,4.9,5.2,4.7,,6.3,,,6,5.3,6 
Guyana,,,,0.9,1.3,1.3,1.3,0.9,2.5,3.3,1.7,2.5,3.3,3.8,4.5,2.1,,3.2,5.6,0.8,3.2,5,2.4,2.5,2.8,4.3,2.2,2.9,0.1,,,,4.4,,,,,2.9 
Haiti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Honduras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Hong Kong SAR,,1.1,1.2,1.2,1.3,1.1,1.3,1.3,1.2,1.3,1.2,1.3,1.2,1.6,1.5,1.6,1.1,0.9,0.9,0.8,0.7,1,0.6,0.8,0.5,0.5,1.1,0.8,0.8,0.9,1.1,1,0.7,1,0.9,1.2,0.8,1 
Hungary,2,2.4,2.2,2.1,2.4,2.3,2.2,2.4,2.3,2.3,2.3,2.3,1.7,1.7,1.9,1.9,2,1.8,2,2.1,1.9,2.1,2,2.2,1.8,1.8,1.8,1.7,2,1.9,2.1,1.9,1.7,1.8,1.6,1.6,1.4,1.4 
Iceland,2.1,2.1,2,1.5,2,1.8,1,0.9,1.7,1.4,2.5,1.3,2.7,2.4,1.9,1.4,1.3,1.8,1,1.8,1.1,1.5,1.2,1.1,0.6,0.9,1,0.9,1.4,1.1,1.3,0.3,0.4,0.7,1.2,1,, 
Iran (Islamic Rep of),,3.1,1.5,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Iraq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Ireland,,,3,2.9,3.1,2.6,2.6,3.1,3.4,3.6,3.2,3.1,3.2,2.7,3,2.9,3,3.3,3.5,3.5,3.5,3.7,3.1,3.8,3.9,3.6,4.3,4.1,4.4,3.8,3.6,3.3,4.1,3.4,3.7,3.5,3.7,3.7 
Israel,,3,2.8,2.5,2.8,2.7,2.5,2.4,2.6,2.7,1.8,2.5,2.5,2.5,2.6,1.8,2.4,3.2,2,1.4,1.7,1.9,1.7,1.6,1.4,1.2,1.3,1,0.9,1.2,1.3,1,1.4,1.2,0.6,0.3,0.7,1.4 
Italy,,1.8,1.6,1.8,1.8,1.8,1.8,2,2.2,2,2,2.2,2.1,2.2,1.5,1.5,1.6,1.6,1.6,1.8,1.8,1.8,1.7,1.6,1.5,1.5,1.6,1.3,1.4,1.4,1.5,1.6,1.2,1.1,1.1,1.1,1.1,1 
Jamaica,,,,,,3.3,2.9,4,,,3.3,3.3,4,6.3,6.4,5.5,6.1,,,,,,,,,0.8,0.6,0.8,1,0.9,1.8,3.2,,1.7,,1.8,1.5, 
Japan,,1.5,1.5,1.5,1.5,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.7,1.7,1.8,1.9,1.8,1.9,1.9,2,1.8,1.7,1.8,1.9,2,1.9,2,2.1,2.1,2.5,2.7,2.9,3,3.2,3.4,3.5 
