"ASDR per 100 000 - Total deaths, ICD chapter 12 (Diseases of the skin and subcutaneous tissue), both sexes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Countries,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979
Costa Rica,,,1.7,1.6,1.4,1.6,1.8,1.7,1.3,1.9,1.7,1.6,2.3,1.8,1.3,1.7,1.8,2.2,1.9,2.1,2.5,3.3,3.3,2.9,2.4,3.2,6.3,4,5.2,5.6,5.1,6.7,3.8,3.5,3,1.5,2.5, 
Croatia,0,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.2,0.4,0.1,0.2,0.2,0.1,0.1,0.1,0.1,0.2,0.2,0.1,0,0.1,0,0.1,0.1,0.1,0,0.1,0,0.1,,,,,, 
Cuba,,1.1,1.1,1.1,1.1,1.1,0.9,1,1,1,0.9,1,0.9,0.9,0.8,1.2,1,1.2,1.6,1.4,1.8,1.9,1.4,1.6,2.1,1.7,1.2,1.2,1.4,1.1,1,0.8,0.7,0.7,0.7,0.8,0.8,0.7 
Cyprus,1.9,1.2,1.5,1.5,1.9,2.2,1.7,1.9,2.1,2.2,1.3,2.3,2,,,,0.2,0.2,,,,,,,,,,,,,,,,,,,, 
Czech Republic,0.7,0.8,0.8,0.6,0.8,0.8,0.5,0.4,0.4,0.3,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.3,0.3,,,,,,, 
Denmark,,0.4,0.3,0.4,0.5,0.5,0.5,0.5,0.5,0.4,0.6,0.7,0.6,0.6,0.6,0.5,0.5,0.5,0.6,0.4,0.4,0.4,0.4,,,,,,,,,,,,,,, 
Dominica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Dominican Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Ecuador,,1.1,0.9,0.7,0.2,0.4,0.3,0.2,0.2,0.1,0.2,0.1,0.1,0.2,0.3,0.3,0.2,0.3,0.4,0.2,0.3,0.4,0.6,0.5,0.6,0.7,0.7,0.6,0.9,0.7,0.8,0.7,1,0.7,0.9,0.4,1.3,1.3 
Egypt,,1,0.8,0.5,0.6,0.6,0.5,0.5,0.8,0.8,1.1,0.7,0.6,0.4,0.3,0.4,0.4,,,,,,,,0.1,0.1,,,,0.1,,,,,,,0.3, 
El Salvador,,,1.1,1.6,2.2,2,1.3,1.1,1.1,1.2,1.5,1.8,1.8,1,1,1.1,2,0.6,1.5,3.6,5.1,7.1,,10.8,9.5,9.2,9.9,,,,,,16.3,16.6,17.5,12.9,, 
