"ASDR per 100 000 - Total deaths, ICD chapter 15 (Pregnancy, childbirth and the puerperium), female",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Countries,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979
Croatia,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.2,0.3,0.2,0.1,0.1,0.2,0.2,0,0.1,0.2,0.1,0.3,0.1,0.3,0.2,0.2,0.1,0.2,0.3,0.1,0,0.1,0.3,0.1,,,,,, 
Cuba,,1.3,1,1.1,1.1,1.2,1.2,1.3,1.1,0.8,1.1,1.1,1,1,1.1,0.9,1,1.1,0.9,1,0.8,1.1,1.4,0.9,1.2,1.3,1.4,1.2,1.4,1.5,1.7,1.6,1.5,1.5,1.9,1.4,1.7,1.6 
Cyprus,0,0,0.5,0.2,0,0,0.2,0,0.3,0,0.2,0,0,,,,0,0,,,,,,,,,,,,,,,,,,,, 
Czech Republic,0,0,0.1,0,0.1,0,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0.1,0,0.1,0.3,0.3,0.4,0.2,0.3,0.3,0.3,0.4,,,,,,, 
Denmark,,0,0.1,0,0,0.1,0,0.2,0.2,0.1,0.2,0,0,0.1,0.1,0.1,0,0.2,0.1,0.2,0.2,0.3,0.1,,,,,,,,,,,,,,, 
Dominica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Dominican Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Ecuador,,2.2,2.1,2,2.6,3.1,2.6,2.8,2.2,2.4,1.9,2,1.9,2.1,2.2,2.9,3.7,3.4,2.5,2.8,3.3,3,4.3,6.5,6.5,6.4,6.4,7.3,7.2,7.8,8.4,10.2,10.1,10.5,11.1,12.6,12.5,12.6 
Egypt,,0.9,1.1,1.1,1.2,1.3,1.2,1.4,1.2,1.7,1.8,1.7,1.6,2,1.9,1.6,1.6,,,,,,,,2.9,3,,,,5.8,,,,,,,8.3, 
El Salvador,,,1.5,1.1,0.5,0.5,0.6,0.4,0.6,0.5,0.7,0.7,0.7,0.9,1.1,0.9,1,0.8,1.4,1.5,1.5,2,,2.3,1.9,2.9,2.3,,,,,,4.3,4.9,6.7,4.9,, 
Estonia,,0,0,0.2,0.2,0.2,0.2,0,0,0,0.1,0.3,0.7,0.6,0.2,0.2,0.8,0.3,0.3,0.3,0,1.1,1.2,0.7,0.6,0.9,0.9,1.3,0.8,1.4,1,1.6,,,1.1,0.9,, 
Falkland Islands (Malvinas),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Fiji,,,,,1.9,1,,1.2,1,1.7,1.7,2.4,0,1.5,0.8,1.9,,,,,,,,,,,,,,,,,,,,,, 
Finland,,0.1,0.1,0,0.1,0,0.1,0,0.2,0,0.2,0.1,0.3,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0.3,0.1,0.1,0.1,0.2,0.1,0.3,0.1,,,,,,,, 
France,,,0.1,0.1,0.2,0.2,0.3,0.3,0.2,0.2,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.3,0.2,0.3,0.2,0.3,0.3,0.3,0.2,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.5,0.4,0.4 
French Guiana,,,2.3,0.9,1.8,0,2.6,0.8,3.6,1.8,1,0.9,0.9,1.2,2.3,2.1,,,,,,,,,,,,,,,,,,,,,,0 
Georgia,,1.1,1,0.8,0.5,0.9,0.6,1.5,,0.1,0.5,0.4,1,,,0.2,0.2,0.4,0.7,0.6,0.4,0.7,0,,0,0.2,0.6,1.8,0.7,0.6,0.8,0.9,,,1.4,0.6,, 
Germany,,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,,,,,,,,,,, 
Greece,,0.1,0.1,0,0,0.1,0.1,0.1,0,0,0.1,0,0.1,0,0,0.1,0,0.1,0.1,0,0.1,0,0,0,0.1,0.1,0,0.1,0.1,0.1,0.2,0.2,0.3,0.4,0.4,0.4,0.6,0.5 
Grenada,3,0,0,1.8,3.3,0,0,0,0,0,0,0,0,0,2.3,0,,,,,0,0,2.1,4.2,0,0,0,0,2.6,,,6.2,,,,,, 
Guadeloupe,,,0,0.3,2.4,0,0.3,0.7,0.8,0,0.9,0.5,1.2,1.5,2.3,0.8,1.3,,,,,,,,,,,,,,,,,,,1.7,, 
Guatemala,,3.6,3.6,4,4.6,4.2,4.9,5,4.9,4.8,5,5.9,5.3,5.3,5.2,5.3,6.7,6.3,6.7,7.4,7.5,8.2,8.8,8.6,9.8,9,8.8,7.9,8.9,9.1,10.1,,6.8,,,10.9,9.7,15.5 
Guyana,,,,2.6,3.7,3.6,5.5,2.5,4.3,5.1,5.5,6.5,5.1,5.5,5.1,4.2,,4.1,5.9,4.7,6.4,8.5,6.5,4.6,2.7,3.1,6.5,4.3,3.2,,,,3.8,,,,,2.4 
Haiti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Honduras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Hong Kong SAR,,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0.1,0,0,0,0,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.1,0.3,0.2,0.3 
Hungary,0.3,0.1,0.1,0.3,0.2,0.2,0.3,0.4,0.3,0.2,0.2,0.1,0.1,0.1,0.2,0.1,0.2,0.1,0.1,0.5,0.2,0.4,0.3,0.5,0.2,0.3,0.6,0.4,0.4,0.3,0.4,0.7,0.4,0.4,0.7,0.5,0.7,0.5 
Iceland,0,0,0,0,0,0.7,0,0,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0.7,0,0,0.8,0,0,0,0,0,0,, 
Iran (Islamic Rep of),,0.2,0.2,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Iraq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Ireland,,,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0,0,0.2,0.2,0.1,0.1,0.1,0.2,0.2,0,0.1,0,0.1,0.2,0.1,0.1,0.1,0.1,0.2,0.3,0.3,0.5,0.3,0.2,0.4,0.6 
Israel,,0.2,0.3,0.4,0.2,0.1,0.2,0.1,0.2,0.2,0.3,0.1,0.2,0.1,0.2,0.3,0.2,0.3,0.4,0.5,0.3,0.3,0.2,0.1,0.2,0.4,0.6,0.3,0.2,0.1,0.3,0.4,0.3,0.1,0.2,0,0.3,0.6 
Italy,,0.1,0,0.1,0,0,0.1,0.1,0,0,0,0,0.1,0.1,0.1,0,0.1,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.2,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.3,0.3 
Jamaica,,,,,,2,2,0.6,,,1,0.9,0.4,0.9,0.8,0.6,0.9,,,,,,,,,0.5,0.5,0.6,0.9,1.7,1.8,2.3,,2.3,,1.9,2.6, 
Japan,,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.2,0.1,0.1,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.4,0.4,0.4,0.5,0.5,0.5,0.6 
Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Kazakhstan,,0.4,0.4,0.5,0.5,0.5,0.7,1.1,1,1.3,1.2,1,0.8,0.9,1,1.1,1.3,1.3,1.6,1.7,1.7,1.9,1.8,1.8,2.3,2,2.3,2.4,2.3,2.3,2.3,2.4,,,2.3,2.7,, 
Kiribati,,,,,,,,,,,,,,,,2.7,0,2.5,0,7.7,2.4,2.8,2.4,19.6,7.9,6,,,,,,,,,,,, 
Kuwait,,,0.2,0.2,0,0.3,0.1,0.4,0.3,0,0.1,0.2,0.5,0.1,0.3,0.1,0.2,0.3,0.3,0.8,0.5,0.1,0.2,0,,,,,,0.1,0.3,0.3,1.3,1.1,1.7,0.9,0.7,1.4 
Kyrgyzstan,,2,2.7,2,2.6,2.9,2.7,3,2.5,2.4,2.4,2.5,2.1,2,2.1,1.7,1.8,1.8,1.5,2.9,1.2,2.3,2.1,2.5,3,3.4,3.9,2.8,3.6,4,4.3,3.3,,,3.4,3.6,, 
Latvia,,1.3,0.2,0.2,0.5,0,0.4,0.8,0.2,0.6,0.2,0.1,0.2,0.3,0.1,0.5,0.5,0.7,0.8,0.7,0.3,0.5,0.9,0.7,0.8,0.9,0.8,1.8,1,1.4,1.2,1,0.6,1.7,0.9,1.1,0.8, 
Lithuania,0.2,0.2,0.1,0.2,0.3,0.2,0.1,0,0.2,0.1,0,0.2,0.3,0.1,0.4,0.2,0.2,0.3,0.3,0.3,0.3,0.4,0.4,0.3,0.6,0.6,0.7,0.9,0.6,0.7,0.9,0.8,,,1,1,, 
Luxembourg,,0,0,0.4,0.4,0,0.4,0,0.4,0.5,0,0.5,0.5,0,0,0,0.4,0,0.5,0,0,0.4,0.5,0,0,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0.6 
Macau,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,, 
