"ASDR per 100 000 - Total deaths, ICD chapter 3 (Diseases of blood and immune mechanism), both sexes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Countries,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979
El Salvador,,,3,2.5,2.5,3.1,2.9,3.3,3.5,3.2,3.2,2.9,3.2,3.1,3,3.4,3.8,4.2,4.5,4,,,,,,,,,,,,,,,,,, 
Estonia,,0.8,0.6,0.6,0.5,0.7,0.4,0.5,0.7,0.7,0.7,0.8,0.6,0.8,0.7,0.9,0.7,1,0.9,0.5,,,,,,,,,,,,,,,,,, 
Falkland Islands (Malvinas),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Fiji,,,,,10.7,8.8,,3.6,5.6,5,5.3,1.6,4.5,5.2,4.4,8.6,,,,,,,,,,,,,,,,,,,,,, 
Finland,,0.7,0.5,0.6,0.6,0.5,0.5,0.3,0.4,0.6,0.6,0.5,0.6,0.7,0.7,0.7,0.6,0.7,0.7,0.7,0.7,,,,,,,,,,,,,,,,, 
France,,,1.1,1.2,1.3,1.4,1.5,1.6,1.6,1.6,1.7,1.7,1.7,1.9,1.9,1.9,2,,,,,,,,,,,,,,,,,,,,, 
French Guiana,,,4.1,1.7,2,2.6,1.1,2.3,2.1,1.2,4.7,2,2.2,2.6,3.1,3.4,,,,,,,,,,,,,,,,,,,,,, 
Georgia,,5.4,4.2,2.3,1.8,1.4,1,0.9,,0.1,0,1.2,0.8,,,0.7,0.4,0.5,0.7,,,,,,,,,,,,,,,,,,, 
Germany,,1.5,1.3,1.4,1.3,1.3,1.3,1.2,1.3,1.2,1.1,1.2,1.2,1.2,1.1,1.2,1.1,1.1,1.1,,,,,,,,,,,,,,,,,,, 
Greece,,1,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Grenada,14.2,12.7,14.9,17.4,8.8,7.2,16.7,9.4,15.5,12.7,6.6,11.5,10.6,2,9.3,8.6,,,,,,,,,,,,,,,,,,,,,, 
Guadeloupe,,,2.3,3.1,2,2.5,2.7,2.3,3.3,3.4,3.3,3,2.8,2.7,3.2,1.7,3.3,,,,,,,,,,,,,,,,,,,,, 
Guatemala,,5.8,5.6,5.3,6.3,6.5,8.1,8.4,4.7,5.1,3.9,4.3,,,,,,,,,,,,,,,,,,,,,,,,,, 
Guyana,,,,17,20.8,16.6,14.8,10.4,16.7,11.3,11.9,14.4,17.9,11.7,19.6,12.1,,,,,,,,,,,,,,,,,,,,,, 
Haiti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Honduras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Hong Kong SAR,,0.7,0.7,0.9,0.7,1,1,0.8,1,1,0.9,0.9,1.1,1.1,1,1,,,,,,,,,,,,,,,,,,,,,, 
Hungary,1,0.9,1.3,1.1,1.2,1.2,1.3,1.4,1.4,1.2,1.2,1.4,0.9,0.8,0.9,0.8,0.9,0.9,1.1,0.7,1,,,,,,,,,,,,,,,,, 
Iceland,1.7,0.6,0.9,1,1,0.9,0,0.9,0.4,1.2,0.9,1,1.2,0.4,0.4,0.4,1,0,0.7,0.7,1.3,,,,,,,,,,,,,,,,, 
Iran (Islamic Rep of),,2.7,1.7,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Iraq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Ireland,,,1.2,1.4,1.4,1.1,1.2,1.3,1.3,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Israel,,2.2,2.5,2.5,2.4,2.5,2.5,2.9,3.1,2.9,2.2,2.6,2.7,4.1,2.7,3.1,3.7,4.7,2.7,,,,,,,,,,,,,,,,,,, 
Italy,,1.7,1.6,1.6,1.9,1.8,1.7,1.7,1.7,1.8,1.8,1.9,1.8,1.8,,,,,,,,,,,,,,,,,,,,,,,, 
Jamaica,,,,,,4.7,6.1,7,,,9.2,9.1,7.6,6.5,6.5,7.1,7.7,,,,,,,,,,,,,,,,,,,,, 
Japan,,1,1,1.1,1.1,1.2,1.2,1.1,1.2,1.3,1.3,1.4,1.4,1.4,1.5,1.5,1.7,1.8,1.8,1.9,1.9,2,,,,,,,,,,,,,,,, 
Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Kazakhstan,,1,1,0.8,1,0.9,1,0.9,1,1.2,0.9,0.9,1.1,,,,,,,,,,,,,,,,,,,,,,,,, 
Kiribati,,,,,,,,,,,,,,,,8.2,5.8,10.7,,,,,,,,,,,,,,,,,,,, 
Kuwait,,,1.1,0.9,1,0.8,1,0.4,1.7,1.3,2.1,2.5,3.2,2.6,2.4,3.2,2,1.9,1,2.3,2.4,5.9,,,,,,,,,,,,,,,, 
Kyrgyzstan,,0.9,0.8,0.9,1,0.8,1,0.8,1,1.1,1.2,1.4,1.2,1.2,1.2,1.5,1.7,,,,,,,,,,,,,,,,,,,,, 
Latvia,,0.7,1,0.6,0.8,0.9,0.7,1.1,0.9,1,1,1,1,0.9,0.8,0.8,0.6,0.8,0.6,0.8,0.6,,,,,,,,,,,,,,,,, 
Lithuania,0.4,0.8,0.8,0.7,0.5,0.6,0.9,0.6,0.4,0.8,0.8,0.5,0.5,0.4,0.8,0.4,0.7,0.9,0.8,,,,,,,,,,,,,,,,,,, 
Luxembourg,,1.7,1.3,1.9,1.1,1.9,2.1,0.8,0.5,1.3,1,1.6,1.8,1.8,1.8,1.4,0.9,0.9,1.5,,,,,,,,,,,,,,,,,,, 
Macau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Malaysia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Maldives,,,,,,5.1,6.1,,7.2,5.7,,0.7,2.7,3.8,7.3,7.1,2.9,,,,,,,,,,,,,,,,,,,,, 
Malta,,0.9,0.8,0.8,0.7,1.5,1.2,1.9,0.7,1.2,1.2,1.4,0.9,1.3,0.6,0.5,0.3,0.8,0.4,1.3,1,3.2,,,,,,,,,,,,,,,, 
Martinique,,,3.1,1.6,,2.6,1.8,2.4,2.7,2.2,1.6,4.1,2.3,3,2.5,2.9,2.5,,,,,,,,,,,,,,,,,,,,, 
Mauritius,5.2,3.6,4.7,3.3,4.6,6.1,6,4.5,4,3.7,2.3,1.6,,,,,,,,,,,,,,,,,,,,,,,,,, 
