"ASDR per 100 000 - Total deaths, ICD chapter 17 (Congenital malformations, deformations, abnormalities), both sexes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Countries,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979
Costa Rica,,,6.8,6,7.1,7.2,6.9,6.6,6.4,7.5,6.5,7.2,6.5,7.5,7.1,7.7,7.1,7.3,7.2,9.4,7,7.7,7.5,8.9,8.5,8.6,8.3,9.7,9,10.1,11.5,9.7,9.2,10.5,9.5,9.4,8.5, 
Croatia,4.4,4.2,4.1,3.5,2.9,3.6,3.8,4.9,3.9,4.2,4.6,5.1,4.8,4.3,5,5.7,4.5,5.4,5.4,4.9,5.7,5.7,5,5.3,5.1,5.2,7,6.6,6.7,5.8,6,7.1,,,,,, 
Cuba,,3.8,3.7,3.9,4.2,4.2,4.1,4.4,4.1,4.5,4.5,5.5,5.7,5.6,5.8,5.4,5.9,6.2,6.7,6.9,6.8,6.7,6.8,7.5,7.7,7.7,8.3,8.6,9.5,8.9,8.3,9.6,9,9,8.8,8.4,8.7,9 
Cyprus,2.6,2,1.8,1.1,2.4,2.6,1.9,1.3,1.6,2.2,2.3,1.9,2.1,,,,0.2,0.1,,,,,,,,,,,,,,,,,,,, 
Czech Republic,1.7,1.7,1.8,1.9,2,1.8,1.9,2,2,2.3,1.7,2,1.5,2.3,2.2,2.6,2,2.9,3.4,3.2,3.4,4.2,5.1,5.2,5.2,5.9,6.4,6.3,7.4,6.8,7.6,,,,,,, 
Denmark,,2.5,2.8,2.6,2.9,2.5,1.9,1.9,2.9,3.3,3.6,3.8,4.2,4.6,4.2,4.4,5,5,5,5,5.9,5.2,5.7,,,,,,,,,,,,,,, 
Dominica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Dominican Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Ecuador,,5.8,4.9,5.2,4.4,4.1,4,4.8,3.8,4,3.7,3.4,3.1,3,3.1,3.6,3.7,3.6,3.1,3.4,3.1,3.4,4.2,5.2,4.9,4.9,4.6,4.7,4.4,3.9,3.7,3.7,3.5,4.2,3.4,3.7,3.4,2.7 
Egypt,,7.3,8.3,6.7,6.8,6.1,6.5,5.8,6.1,6.3,6.2,6.2,6.7,6.4,7,7.4,6.8,,,,,,,,4.3,4.5,,,,4.8,,,,,,,4.9, 
